"id","country_slug","country","ul_safety_index","institutions_resources","safety_frameworks","safety_outcomes","transport_injuries","transport_injuries_rating","falls","falls_rating","drowning","drowning_rating","fires_heat_hot_substances","fires_heat_hot_substances_rating","poisonings","poisonings_rating","exposure_to_mechanical_forces","exposure_to_mechanical_forces_rating","foreign_body","foreign_body_rating","other_unintentional_injuries","other_unintentional_injuries_rating","exposure_to_forces_of_nature_disaster","exposure_to_forces_of_nature_disaster_rating","unintentional_injuries","gdp_per_capita","gdp_per_capita_rating","government_effectiveness","government_effectiveness_rating","education","education_rating","network_readiness","network_readiness_rating","ul_standards_index","ul_standards_index_rating","consumer_protection_survey","consumer_protection_survey_rating","ul_labor_rights_index","ul_labor_rights_index_rating","road_safety","road_safety_rating","iso_membership","iec_membership","ul_safety_index_rank","institutions_resources_rank","safety_frameworks_rank","safety_outcomes_rank","transport_injuries_rating_rank","falls_rating_rank","drowning_rating_rank","fires_heat_hot_substances_rating_rank","poisonings_rating_rank","exposure_to_mechanical_forces_rating_rank","foreign_body_rating_rank","other_unintentional_injuries_rating_rank","exposure_to_forces_of_nature_disaster_rating_rank","gdp_per_capita_rating_rank","government_effectiveness_rating_rank","education_rating_rank","network_readiness_rating_rank","ul_standards_index_rating_rank","consumer_protection_survey_rating_rank","ul_labor_rights_index_rating_rank","road_safety_rating_rank"
165,"Thailand","Thailand",66.0647098928125,52.1223370263838,66.75,82.8768901911239,1674.815267324,0.504347315445904,316.137284972,0.802249402109199,482.021411881,0.695847135736269,97.27270226,0.886439213708937,27.225757367,0.962486038580703,104.762217961,0.882945565104746,142.892228905,0.787629336263022,196.346757002,0.937169040037281,26.518155937,0.999807070215089,3067.991783609,5111.909202,0.513477278210577,0.19,0.54,0.608,0.57687074829932,3.97,0.454545454545455,8,1,NULL,NULL,33.5,0.335,NULL,NULL,"Member body","Full member",74,80,84,105,171,97,153,86,61,50,105,155,145,87,64,103,45,1,NULL,144,NULL
166,"Macedonia","Macedonia",73.1507401214453,48.2500583622506,85.375,95.0227541765573,519.079063088,0.90954020124077,214.86368496,0.882982194053443,67.38929078,0.967906700774157,38.447260158,0.973264740043645,23.159581178,0.970082129479191,87.713834364,0.911267644476692,30.4808287179999,0.981658661940551,144.159712363,0.955356369760988,1.479767707,0.999989234120724,1126.773023316,4561.177546,0.495026040942303,-0.15,0.464444444444444,0.642,0.62312925170068,3.64,0.347402597402597,7,0.875,NULL,NULL,83.25,0.8325,NULL,NULL,"Member body","Associate member",49,93,35,2,28,54,32,23,45,28,9,108,90,91,88,88,71,60,NULL,47,NULL
167,"Timor-Leste","Timor-Leste",35.7174715276056,22.1902885062585,26.125,78.6000593108399,713.722268119,0.841299679175436,247.093243524,0.857289592569009,905.690714717,0.417857852263968,206.103781238,0.725806069678255,63.947442686,0.89388565171518,164.460123051,0.783770837091506,258.85833893,0.5874643521763,111.807219217999,0.966631303305939,0,1,2671.683131483,875.8365693,0.227924877706535,-1.21,0.228888888888889,0.472,0.391836734693877,2.69,0.038961038961039,0,NULL,NULL,NULL,52.25,0.5225,NULL,NULL,NULL,NULL,171,165,173,135,65,62,181,129,108,94,150,64,1,152,164,136,128,NULL,NULL,111,NULL
168,"Togo","Togo",44.5127436172271,25.2816453738768,45.625,76.4618634648774,966.02505073,0.752844119675328,290.930666961,0.82234349027491,320.309284143,0.801954040857194,220.538419671,0.70450074608675,128.788803704,0.772754434232077,308.732083067,0.544095217436962,287.859980017,0.537405649462062,171.487859916,0.945832434582771,22.324698512,0.999837579230911,2716.996846721,496.4824942,0.13604573309839,-1.38,0.191111111111111,0.501,0.431292517006803,NULL,NULL,4,0.5,NULL,NULL,41.25,0.4125,NULL,NULL,"Correspondent member","Affiliate country",148,157,139,142,121,83,113,135,142,158,156,140,142,170,173,128,NULL,112,NULL,135,NULL
169,"Tonga","Tonga",40.960833705856,53.6909425653784,16.75,76.4170948530624,783.361401408999,0.816884694788336,141.831266228,0.941201819562724,415.466818959,0.739516723016561,212.647020817,0.716148339959952,131.079519633,0.768475109970042,137.436843942999,0.828663976164334,463.090278208,0.234946854893963,498.974416405,0.831702461825207,0.1983957645,0.999998556594498,2784.0859613665,3557.737184,0.454809909614414,-0.32,0.426666666666667,0.72,0.729251700680272,NULL,NULL,0,NULL,NULL,NULL,33.5,0.335,NULL,NULL,NULL,NULL,159,76,180,143,84,24,138,132,143,76,182,184,48,103,100,52,NULL,NULL,NULL,144,NULL
170,"Trinidad-and-Tobago","Trinidad and Tobago",70.0548285921674,57.2694588783102,66.875,89.769198935461,956.079829484,0.756330843446519,209.013861604,0.887645527556493,209.923158399999,0.874383550843332,98.355172668,0.884841502590108,25.014352286,0.966617200937636,108.256703243,0.877140258756623,108.712306246,0.846626086896885,57.246087817,0.985646008847377,0.4227520094,0.999996924316516,1773.0242237574,15840.40726,0.696544176612514,0.27,0.557777777777778,0.7,0.702040816326531,3.6,0.334415584415584,6,0.75,NULL,NULL,58.75,0.5875,NULL,NULL,"Member body","Affiliate country",60,62,82,62,120,50,85,88,52,55,79,13,65,43,61,59,77,76,NULL,99,NULL
171,"Tunisia","Tunisia",66.0368589674894,53.9857772229762,58.25,91.5764778319995,912.605598568999,0.771572599322641,151.824112982,0.933235770979226,85.45864257,0.956050552303434,46.212846064,0.961802844314638,42.28556063,0.934352571366824,141.419610009,0.822047500414632,73.587265797,0.907254171783097,143.521849531999,0.955578666725803,1.604359204,0.999988327669658,1598.519845357,4176.611461,0.480768957399773,0.24,0.551111111111111,0.619,0.591836734693877,4.22,0.535714285714286,7,0.875,NULL,NULL,29,0.29,NULL,NULL,"Member body","Associate member",75,74,112,39,114,27,42,34,79,80,55,107,91,99,62,98,38,60,NULL,154,NULL
172,"Turkey","Turkey",68.6993559267116,53.7735358236637,65.375,92.2311663011022,648.597208782999,0.864132061368879,203.172769397,0.89230190080499,55.040756706,0.976009152653927,46.356368694,0.961591006928545,24.895867682,0.966838543983343,200.692354701,0.72357908138778,46.803354053,0.953484930638957,122.148264199,0.963027420463786,21.872538491,0.999840868868991,1369.579482706,10111.51771,0.62388515589027,0.31,0.566666666666667,0.625,0.6,3.68,0.36038961038961,8,1,NULL,NULL,30.75,0.3075,NULL,NULL,"Member body","Full member",65,75,86,32,48,49,26,35,51,109,32,76,141,59,58,96,66,1,NULL,148,NULL
173,"Turkmenistan","Turkmenistan",46.9317845741739,43.6356925615084,29.25,80.9903847049753,663.090776652,0.859050719650259,306.139024906,0.810219766050218,374.923553317999,0.76611905953168,338.860228658,0.529859417860815,78.11099058,0.867426493959312,116.565392818,0.863337227854537,218.548462726,0.657041797924648,199.468876235,0.936080972829795,0.1143875579,0.999999167786516,2295.8216934509,4392.719583,0.488934722423485,-1.58,0.146666666666667,0.679,0.673469387755102,NULL,NULL,4,0.5,NULL,NULL,8.5,0.085,NULL,NULL,"Correspondent member","Affiliate country",141,108,167,124,52,91,128,173,117,68,136,156,44,96,178,70,NULL,112,NULL,179,NULL
174,"Uganda","Uganda",46.2790806801448,27.5498359635786,51.125,70.3723139228265,1229.19632121899,0.660578145695369,378.874177113,0.75223711401193,442.770682275,0.721601378788333,321.64696604,0.55526595172339,247.353641316,0.55126150278912,258.538220078,0.62748110346367,300.961942412,0.514790817475935,157.050683629,0.950863830539896,78.565115109,0.999428408566739,3414.95774919099,608.8130239,0.169060022752584,-0.52,0.382222222222222,0.479,0.401360544217687,3.03,0.149350649350649,4,0.5,NULL,NULL,52.25,0.5225,NULL,NULL,"Correspondent member","Affiliate country",143,150,125,167,149,128,145,166,176,139,162,125,173,162,112,135,113,112,NULL,111,NULL
