"id","country_slug","country","ul_safety_index","institutions_resources","safety_frameworks","safety_outcomes","transport_injuries","transport_injuries_rating","falls","falls_rating","drowning","drowning_rating","fires_heat_hot_substances","fires_heat_hot_substances_rating","poisonings","poisonings_rating","exposure_to_mechanical_forces","exposure_to_mechanical_forces_rating","foreign_body","foreign_body_rating","other_unintentional_injuries","other_unintentional_injuries_rating","exposure_to_forces_of_nature_disaster","exposure_to_forces_of_nature_disaster_rating","unintentional_injuries","gdp_per_capita","gdp_per_capita_rating","government_effectiveness","government_effectiveness_rating","education","education_rating","network_readiness","network_readiness_rating","ul_standards_index","ul_standards_index_rating","consumer_protection_survey","consumer_protection_survey_rating","ul_labor_rights_index","ul_labor_rights_index_rating","iso_membership","iec_membership","ul_safety_index_rank","institutions_resources_rank","safety_frameworks_rank","safety_outcomes_rank","transport_injuries_rating_rank","falls_rating_rank","drowning_rating_rank","fires_heat_hot_substances_rating_rank","poisonings_rating_rank","exposure_to_mechanical_forces_rating_rank","foreign_body_rating_rank","other_unintentional_injuries_rating_rank","exposure_to_forces_of_nature_disaster_rating_rank","gdp_per_capita_rating_rank","government_effectiveness_rating_rank","education_rating_rank","network_readiness_rating_rank","ul_standards_index_rating_rank","consumer_protection_survey_rating_rank","ul_labor_rights_index_rating_rank"
159,"Swaziland","Swaziland",NULL,40.223992646807,NULL,75.8944943268815,2471.373975277,0.245060102288234,88.746490655,0.987467630058015,460.943533107999,0.840889818355203,318.796071224,0.695726046081685,195.21455979,0.867085758663706,444.572744891,0.457004062206572,187.361170537999,0.765877692367621,113.329989836,0.972352915290222,2.268540993,0.999040464108079,4282.607076312,1433.18124,0.409277730291783,-0.71,0.358574610244989,0.459,0.438867438867439,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,112,NULL,147,181,5,117,145,145,173,111,48,102,102,131,104,NULL,NULL,NULL,NULL
160,"Sweden","Sweden",95.953315718422,94.4017437100042,100,93.583642190832,495.549244806,0.946541551862155,473.935576155999,0.709091004543711,56.452449644,0.986679432154756,70.194050204,0.951831704119701,28.060784098,0.985641222523239,113.945908378999,0.896630166782337,37.660679664,0.977677710482474,126.625003759,0.968435004706508,0,1,1402.42369671,29283.00505,0.913918778467262,1.97,0.955456570155902,0.866,0.962676962676963,NULL,NULL,8,1,NULL,NULL,NULL,NULL,"Member body","Full member",1,2,1,10,7,147,15,38,35,31,14,61,1,10,7,4,NULL,1,NULL,NULL
161,"Switzerland","Switzerland",94.5437209357348,93.8354342100344,100,90.05984687693,629.108352587,0.899123764704646,838.875025511,0.445348815960256,47.952274326,0.989743127072891,40.710865869,0.982204789158152,15.975082351,0.994213125675003,121.352879796,0.886781305071312,40.421632002,0.973771445701453,137.864390854,0.965122867245879,73.108408833,0.969076978334107,1945.368912129,37813.23426,0.956679029832405,2.06,0.975501113585746,0.804,0.882882882882883,NULL,NULL,8,1,NULL,NULL,NULL,NULL,"Member body","Full member",8,4,1,50,20,182,11,5,7,37,16,69,179,3,4,13,NULL,1,NULL,NULL
162,"Syria","Syria",59.8310345955806,36.7264724389668,62.5,93.3083058449579,834.615714848,0.826162028699553,168.055889662,0.930150629919186,103.531859348999,0.969710729408522,93.795586145,0.927517795213903,89.338829275,0.942179164664905,128.038553521,0.877891534575989,49.741542898,0.960585401453521,143.200927413999,0.96355024211063,0,1,1610.318903112,1181.719202,0.377008936134325,-0.99,0.296213808463252,0.451,0.428571428571429,NULL,NULL,5,0.625,NULL,NULL,NULL,NULL,"Member body",NULL,85,127,59,12,65,35,31,61,101,44,27,74,1,107,158,105,NULL,59,NULL,NULL
163,"Taiwan","Taiwan",NULL,68.1514476614699,NULL,92.3242829242822,1114.121358842,0.726928518110654,274.705397896,0.853074899239211,195.243908092,0.936655206768805,51.550881471,0.971037585780231,34.054272692,0.981390281630897,83.400082076,0.937246175967507,65.584469121,0.938170431125548,89.487043442,0.979379198418994,34.746350138,0.985303166143549,1942.89376377,NULL,NULL,0.74,0.681514476614699,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,44,NULL,27,117,66,59,20,48,9,39,28,164,NULL,36,NULL,NULL,NULL,NULL,NULL
164,"Tajikistan","Tajikistan",NULL,29.6000002332534,NULL,80.7022294197425,470.271985978,0.955515793296866,466.552795841999,0.714426548950562,945.138465613,0.666372764458545,411.392282694999,0.600334972536472,155.575014651,0.895200496973862,199.748226441,0.782541004356469,237.695337272999,0.694663647817547,165.040174033,0.957114429710247,7.019353507,0.997030989676258,3058.433636033,139.1091416,0.0191623497412365,-1.21,0.247216035634744,0.601,0.621621621621622,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,143,NULL,128,4,143,172,161,134,92,125,97,119,176,166,73,NULL,NULL,NULL,NULL
165,"Thailand","Thailand",75.0180707133182,51.3275668794934,100,82.2521000767952,2198.428846896,0.341964418424211,324.337230995,0.817205912457775,657.706242055,0.769971173865256,123.621278908,0.896791863702295,42.592704995,0.975334314315025,140.652130358,0.861119581917464,155.504001305,0.810950016320896,232.168333605,0.937332417568284,18.868003099,0.992019308340368,3893.878772216,2016.041015,0.466353278122654,0.2,0.561247216035635,0.516,0.512226512226512,NULL,NULL,8,1,NULL,NULL,NULL,NULL,"Member body","Full member",45,81,1,113,174,87,145,85,69,58,100,150,150,83,63,93,NULL,1,NULL,NULL
166,"Macedonia","Macedonia",61.8728833108339,39.8609088885422,62.5,95.076645425507,506.660854444,0.942596572372954,191.893742885,0.912922984096634,73.996419087,0.980356107280194,43.922732584,0.978895977607866,25.451346301,0.987491992014716,80.960651394,0.940489824968974,24.4616298,0.996352058067927,624.671718106,0.821665508666482,9.156422311,0.996127063219884,1581.175516912,1875.127132,0.45423376797129,-0.78,0.342984409799555,NULL,NULL,NULL,NULL,5,0.625,NULL,NULL,NULL,NULL,"Member body",NULL,78,118,59,2,10,46,24,11,27,8,2,184,125,87,138,NULL,NULL,59,NULL,NULL
167,"Timor-Leste","Timor-Leste",NULL,26.1821326358277,NULL,78.0585942725681,827.187579125,0.828799256250278,241.509475744999,0.877065632977712,1551.27774924,0.447903641945532,304.740713909,0.710205640894906,121.797109023,0.919157809654073,236.889417283,0.733155306506196,340.983038768,0.548529610981985,153.698923531999,0.960456585320445,0,1,3778.084006625,434.37974,0.209614338688241,NULL,NULL,0.362,0.314028314028314,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,157,NULL,138,61,56,183,137,118,108,154,87,1,142,NULL,123,NULL,NULL,NULL,NULL
168,"Togo","Togo",NULL,24.658353565367,NULL,78.3641960727161,965.149886906,0.779818191201199,351.909687743,0.797279264077632,448.566628619999,0.845350792154395,285.309972242,0.730222867063769,181.903131306,0.876527020591654,359.763018787,0.569773400323763,371.7928892,0.504939059999049,193.026778288,0.948867051132991,0,1,3157.421993092,265.5016597,0.127272713859508,-1.24,0.240534521158129,0.407,0.371943371943372,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,162,NULL,136,87,98,112,129,142,151,161,126,1,162,168,116,NULL,NULL,NULL,NULL
